t1,key1,t2,key2,reduce,time
5000,5,5000,5,1,32341
5000,5,5000,5,2,32371
5000,5,5000,5,3,30419
5000,5,5000,5,4,32299
5000,5,5000,5,5,34312
5000,5,5000,5,6,34449
5000,5,5000,5,7,36273
5000,5,5000,5,8,36299
5000,5,5000,5,9,36375
5000,5,50000,5,1,72247
5000,5,50000,5,2,56269
5000,5,50000,5,3,46317
5000,5,50000,5,4,46327
5000,5,50000,5,5,42296
5000,5,50000,5,6,42416
5000,5,50000,5,7,44260
5000,5,50000,5,8,42459
5000,5,50000,5,9,46328
5000,5,500000,5,1,514558
5000,5,500000,5,2,470719
5000,5,500000,5,3,316420
5000,5,500000,5,4,476488
5000,5,500000,5,5,214438
5000,5,500000,5,6,272477
5000,5,500000,5,7,102135
5000,5,500000,5,8,356140
5000,5,500000,5,9,120128
5000,5,20000,1,1,40213
5000,5,20000,1,2,42207
5000,5,20000,1,3,42170
5000,5,20000,1,4,44195
5000,5,20000,1,5,42175
5000,5,20000,1,6,42173
5000,5,20000,1,7,42206
5000,5,20000,1,8,42195
5000,5,20000,1,9,44188
5000,5,20000,3,1,42198
5000,5,20000,3,2,42191
5000,5,20000,3,3,36194
5000,5,20000,3,4,42247
5000,5,20000,3,5,34187
5000,5,20000,3,6,36276
5000,5,20000,3,7,32204
5000,5,20000,3,8,42200
5000,5,20000,3,9,36180
5000,5,20000,5,1,40181
5000,5,20000,5,2,42191
5000,5,20000,5,3,34185
5000,5,20000,5,4,42191
5000,5,20000,5,5,32178
5000,5,20000,5,6,34185
5000,5,20000,5,7,32305
5000,5,20000,5,8,42160
5000,5,20000,5,9,34245
5000,5,20000,10,1,32189
5000,5,20000,10,2,30184
5000,5,20000,10,3,28193
5000,5,20000,10,4,32190
5000,5,20000,10,5,30173
5000,5,20000,10,6,28220
5000,5,20000,10,7,28208
5000,5,20000,10,8,32186
5000,5,20000,10,9,30194
5000,5,20000,30,1,26199
5000,5,20000,30,2,26176
5000,5,20000,30,3,28193
5000,5,20000,30,4,26187
5000,5,20000,30,5,28179
5000,5,20000,30,6,26191
5000,5,20000,30,7,30203
5000,5,20000,30,8,30197
5000,5,20000,30,9,30189
5000,5,20000,50,1,24206
5000,5,20000,50,2,24464
5000,5,20000,50,3,24189
5000,5,20000,50,4,24185
5000,5,20000,50,5,26188
5000,5,20000,50,6,28191
5000,5,20000,50,7,28193
5000,5,20000,50,8,30186
5000,5,20000,50,9,30190
5000,5,20000,100,1,22169
5000,5,20000,100,2,22177
5000,5,20000,100,3,24206
5000,5,20000,100,4,26208
5000,5,20000,100,5,28169
5000,5,20000,100,6,28166
5000,5,20000,100,7,28186
5000,5,20000,100,8,30176
5000,5,20000,100,9,28186
5000,5,20000,300,1,22188
5000,5,20000,300,2,24177
5000,5,20000,300,3,24194
5000,5,20000,300,4,24209
5000,5,20000,300,5,26175
5000,5,20000,300,6,26196
5000,5,20000,300,7,28175
5000,5,20000,300,8,28200
5000,5,20000,300,9,28178
50000,5,50000,5,1,458294
50000,5,50000,5,2,220164
50000,5,50000,5,3,156146
50000,5,50000,5,4,164125
50000,5,50000,5,5,92127
50000,5,50000,5,6,94133
50000,5,50000,5,7,94103
50000,5,50000,5,8,92122
50000,5,50000,5,9,94114
50000,5,500000,5,1,3618272
50000,5,500000,5,3,2911661
50000,5,500000,5,4,4569592
50000,5,500000,5,5,1965684
50000,5,500000,5,6,2812292
50000,5,500000,5,7,1141427
50000,5,500000,5,8,4515775
50000,5,500000,5,9,1122017
50000,5,20000,1,1,220403
50000,5,20000,1,2,216431
50000,5,20000,1,3,204433
50000,5,20000,1,4,218404
50000,5,20000,1,5,218529
50000,5,20000,1,6,216346
50000,5,20000,1,7,212433
50000,5,20000,1,8,212402
50000,5,20000,1,9,212572
50000,5,20000,3,1,206456
50000,5,20000,3,2,214361
50000,5,20000,3,3,150330
50000,5,20000,3,4,218436
50000,5,20000,3,5,92310
50000,5,20000,3,6,144261
