t1,key1,t2,key2,reduce,time
5000,20,5000,20,3,20129
5000,20,5000,20,9,24116
5000,20,5000,20,15,26120
5000,20,5000,20,16,28114
5000,20,5000,20,21,30117
5000,20,5000,20,27,36121
5000,20,5000,20,33,36126
5000,20,5000,20,38,40117
5000,20,10000,14,3,20114
5000,20,10000,14,10,26131
5000,20,10000,14,15,30115
5000,20,10000,14,20,30128
5000,20,10000,14,21,32117
5000,20,10000,14,30,36112
5000,20,10000,14,35,38111
5000,20,10000,14,40,42114
5000,20,15000,4,1,22118
5000,20,15000,4,10,26109
5000,20,15000,4,13,26122
5000,20,15000,4,19,28107
5000,20,15000,4,24,32110
5000,20,15000,4,27,34113
5000,20,15000,4,35,38105
5000,20,15000,4,39,42119
5000,20,20000,16,5,24113
5000,20,20000,16,9,24118
5000,20,20000,16,14,28108
5000,20,20000,16,18,30118
5000,20,20000,16,22,30108
5000,20,20000,16,27,34112
5000,20,20000,16,34,38114
5000,20,20000,16,38,42114
5000,20,25000,18,2,18099
5000,20,25000,18,7,22103
5000,20,25000,18,11,26119
5000,20,25000,18,16,30100
5000,20,25000,18,25,32117
5000,20,25000,18,28,36123
5000,20,25000,18,33,38103
5000,20,25000,18,40,40112
5000,20,30000,16,5,22109
5000,20,30000,16,6,22101
5000,20,30000,16,11,26106
5000,20,30000,16,18,30173
5000,20,30000,16,21,30106
5000,20,30000,16,30,36107
5000,20,30000,16,34,38116
5000,20,30000,16,37,40171
5000,20,35000,23,3,20111
5000,20,35000,23,6,22110
5000,20,35000,23,12,26116
5000,20,35000,23,16,28105
5000,20,35000,23,22,32099
5000,20,35000,23,28,36177
5000,20,35000,23,31,36111
5000,20,35000,23,38,40115
5000,20,40000,22,3,20110
5000,20,40000,22,8,24104
5000,20,40000,22,13,26110
5000,20,40000,22,19,32115
5000,20,40000,22,22,34108
5000,20,40000,22,26,34107
5000,20,40000,22,35,38106
5000,20,40000,22,37,40173
5000,20,45000,6,3,22110
5000,20,45000,6,8,24106
5000,20,45000,6,15,30109
5000,20,45000,6,20,30100
5000,20,45000,6,22,32099
5000,20,45000,6,26,34166
5000,20,45000,6,31,36104
5000,20,45000,6,37,40112
5000,20,50000,6,2,24162
5000,20,50000,6,8,22117
5000,20,50000,6,13,26121
5000,20,50000,6,20,32108
5000,20,50000,6,24,32107
5000,20,50000,6,30,36115
5000,20,50000,6,33,38112
5000,20,50000,6,40,40119
5000,20,55000,14,5,22121
5000,20,55000,14,8,24109
5000,20,55000,14,11,26104
5000,20,55000,14,16,28108
5000,20,55000,14,25,34112
5000,20,55000,14,30,36102
5000,20,55000,14,35,40106
5000,20,55000,14,36,40113
5000,20,60000,3,1,26107
5000,20,60000,3,9,24099
5000,20,60000,3,12,26106
5000,20,60000,3,18,28108
5000,20,60000,3,22,30118
