t1,key1,t2,key2,reduce,time
5000,5,5000,5,1,33411.12
5000,5,5000,5,2,29003.209
5000,5,5000,5,3,44379.754
5000,5,5000,5,4,25217.752
5000,5,5000,5,6,120080.21
5000,5,5000,5,7,174971.97
5000,5,5000,5,8,107417.7
5000,5,50000,5,1,76214.23
5000,5,50000,5,2,31404.658
5000,5,50000,5,3,28971.168
5000,5,50000,5,4,36239.25
5000,5,50000,5,5,29028.943
5000,5,50000,5,7,27227.654
5000,5,50000,5,8,26305.771
5000,5,50000,5,9,32118.814
5000,5,500000,5,1,32984.574
5000,5,500000,5,3,32456.6
5000,5,500000,5,4,80801.695
5000,5,500000,5,5,28257.523
5000,5,500000,5,7,23879.332
5000,5,500000,5,8,126636.36
5000,5,500000,5,9,58510.312
5000,5,20000,1,1,46793.387
5000,5,20000,1,2,27181.836
5000,5,20000,1,5,71665.3
5000,5,20000,1,6,53910.86
5000,5,20000,1,7,108208.375
5000,5,20000,1,8,70279.03
5000,5,20000,1,9,56208.1
5000,5,20000,3,1,50586.258
5000,5,20000,3,3,48238.543
5000,5,20000,3,4,26820.463
5000,5,20000,3,5,26152.062
5000,5,20000,3,6,29479.39
5000,5,20000,3,7,70009.31
5000,5,20000,3,9,28251.271
5000,5,20000,5,2,59580.797
5000,5,20000,5,3,22580.355
5000,5,20000,5,4,29223.938
5000,5,20000,5,5,51128.008
5000,5,20000,5,6,462835.9
5000,5,20000,5,8,32467.404
5000,5,20000,5,9,49996.62
5000,5,20000,10,1,56053.133
5000,5,20000,10,3,23695.037
5000,5,20000,10,4,23187.148
5000,5,20000,10,5,750590.8
5000,5,20000,10,6,26374.877
5000,5,20000,10,7,30970.215
5000,5,20000,10,8,65189.297
5000,5,20000,10,9,164554.45
5000,5,20000,30,1,24054.596
5000,5,20000,30,4,24762.305
5000,5,20000,30,5,31357.584
5000,5,20000,30,6,26600.86
5000,5,20000,30,7,52537.664
5000,5,20000,30,8,239802.14
5000,5,20000,50,1,28235.756
5000,5,20000,50,2,86581.805
5000,5,20000,50,3,164554.45
