t1,key1,t2,key2,reduce,time
5000,20,5000,20,1,18128
5000,20,10000,14,3,20114
5000,20,15000,4,3,20112
5000,20,20000,16,2,20102
5000,20,25000,18,2,18099
5000,20,30000,16,3,20109
5000,20,35000,23,2,18118
5000,20,40000,22,3,20110
5000,20,45000,6,4,22108
5000,20,50000,6,4,22103
5000,20,55000,14,2,22106
5000,20,60000,3,9,24099
5000,20,65000,16,2,22110
10000,14,10000,14,3,20105
10000,14,15000,4,6,22106
10000,14,20000,16,3,22103
10000,14,25000,18,4,22106
10000,14,30000,16,4,22100
10000,14,35000,23,4,22103
10000,14,40000,22,8,24099
10000,14,45000,6,7,26107
10000,14,50000,6,4,26115
10000,14,55000,14,4,26106
10000,14,60000,3,3,28109
10000,14,65000,16,4,26108
15000,4,15000,4,4,30100
15000,4,20000,16,3,24104
15000,4,25000,18,5,24106
15000,4,30000,16,7,24112
15000,4,35000,23,4,24107
15000,4,40000,22,9,26101
15000,4,45000,6,4,38113
15000,4,50000,6,4,40110
15000,4,55000,14,8,30110
15000,4,60000,3,16,70116
15000,4,65000,16,8,32108
20000,16,20000,16,5,24115
20000,16,25000,18,4,24107
20000,16,30000,16,5,26110
20000,16,35000,23,4,26112
20000,16,40000,22,5,26103
20000,16,45000,6,8,28232
20000,16,50000,6,10,30109
20000,16,55000,14,6,30105
20000,16,60000,3,8,36105
20000,16,65000,16,5,32108
25000,18,25000,18,5,24112
25000,18,30000,16,7,26112
25000,18,35000,23,5,26107
25000,18,40000,22,5,28110
25000,18,45000,6,8,30106
25000,18,50000,6,9,30119
25000,18,55000,14,9,30108
25000,18,60000,3,14,38113
25000,18,65000,16,10,32109
30000,16,30000,16,11,30106
30000,16,35000,23,6,26109
30000,16,40000,22,8,28105
30000,16,45000,6,7,32121
30000,16,50000,6,8,34109
30000,16,55000,14,9,32110
30000,16,60000,3,5,44117
30000,16,65000,16,10,36119
35000,23,35000,23,5,26113
35000,23,40000,22,8,28115
35000,23,45000,6,6,30123
35000,23,50000,6,7,32114
35000,23,55000,14,6,32117
35000,23,60000,3,3,40111
35000,23,65000,16,6,32111
40000,22,40000,22,5,30115
40000,22,45000,6,7,30125
40000,22,50000,6,11,34113
40000,22,55000,14,9,34106
40000,22,60000,3,4,44118
40000,22,65000,16,8,34111
45000,6,45000,6,10,62128
45000,6,50000,6,6,66128
45000,6,55000,14,6,42127
45000,6,60000,3,6,122128
45000,6,65000,16,10,44121
50000,6,50000,6,8,70117
50000,6,55000,14,10,46116
50000,6,60000,3,3,132127
50000,6,65000,16,7,46128
55000,14,55000,14,9,44126
55000,14,60000,3,3,72110
55000,14,65000,16,10,46121
60000,3,60000,3,20,304126
60000,3,65000,16,3,74128
65000,16,65000,16,10,48118
